,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,bengkulu,-3.8004,102.2655,74.52,88,100,3.76,ID,1669838346
126,bredasdorp,-34.5322,20.0403,64.06,79,59,2.75,ZA,1669838347
127,beringovskiy,63.05,179.3167,24.94,97,100,7.7,RU,1669838347
128,alta floresta,-9.8756,-56.0861,91.22,55,40,9.22,BR,1669838347
129,codrington,-38.2667,141.9667,55.67,92,76,2.42,AU,1669838348
130,jardim,-21.4803,-56.1381,97.63,23,27,10.11,BR,1669838348
131,santa cruz de la palma,28.6835,-17.7642,69.94,56,75,10.36,ES,1669838059
132,hualmay,-11.0964,-77.6139,71.44,73,85,11.18,PE,1669838297
133,iqaluit,63.7506,-68.5145,-20.31,68,20,12.66,CA,1669838349
134,estelle,29.8458,-90.1067,70.0,46,9,13.0,US,1669838226
135,naze,28.3667,129.4833,58.12,79,100,19.53,JP,1669838350
136,khatanga,71.9667,102.5,-39.46,100,55,5.39,RU,1669838351
137,cidreira,-30.1811,-50.2056,71.73,90,98,16.73,BR,1669838351
138,zeya,53.75,127.2667,-23.26,92,32,4.21,RU,1669838352
139,san carlos de bariloche,-41.1456,-71.3082,62.35,22,0,20.71,AR,1669838287
140,bonney lake,47.1771,-122.1865,41.09,90,40,4.61,US,1669838343
141,maragogi,-9.0122,-35.2225,77.11,80,100,9.82,BR,1669838353
142,dikson,73.5069,80.5464,22.03,94,100,11.23,RU,1669838353
143,perth,-31.9333,115.8333,69.04,76,75,9.22,AU,1669838219
144,airai,-8.9266,125.4092,60.58,93,100,0.85,TL,1669838354
145,chuy,-33.6971,-53.4616,75.52,72,15,17.05,UY,1669838354
146,whitehorse,60.7161,-135.0538,-15.83,76,40,4.61,CA,1669838055
147,ribeira grande,38.5167,-28.7,63.0,67,75,5.75,PT,1669838355
148,nishihara,26.1842,127.7558,65.48,82,100,18.41,JP,1669838355
149,paoua,7.2427,16.4406,75.31,30,100,1.68,CF,1669838356
150,tongling,30.95,117.7833,29.88,86,100,4.94,CN,1669838356
151,tuatapere,-46.1333,167.6833,51.39,70,88,5.1,NZ,1669838357
152,zhigansk,66.7697,123.3711,-27.35,95,93,8.95,RU,1669838357
153,lima,-12.0432,-77.0282,73.65,60,0,14.97,PE,1669837886
154,ponta do sol,32.6667,-17.1,64.71,74,4,1.14,PT,1669838357
155,kaeo,-35.1,173.7833,61.32,87,41,10.09,NZ,1669838358
156,te anau,-45.4167,167.7167,45.91,86,86,2.55,NZ,1669838358
157,tiznit,29.5833,-9.5,59.18,61,87,2.24,MA,1669838359
158,saint-augustin,51.226,-58.6502,9.46,89,99,5.39,CA,1669838359
159,tasiilaq,65.6145,-37.6368,35.02,96,100,21.65,GL,1669838316
